"Name","Live Bytes","Live Objects"
"com.intellij.lang.LanguageFormatting","48 B (0%)","1 (0%)"
"java.nio.channels.spi.AbstractSelector$1","48 B (0%)","3 (0%)"
"jdk.internal.jimage.ImageHeader","48 B (0%)","1 (0%)"
"com.intellij.util.xml.impl.DomApplicationComponent","48 B (0%)","1 (0%)"
"com.intellij.psi.stubs.SerializedStubTreeDataExternalizer","48 B (0%)","2 (0%)"
"com.intellij.openapi.vcs.impl.projectlevelman.NewMappings$RootMapping","48 B (0%)","2 (0%)"
"java.text.AttributedCharacterIterator$Attribute","48 B (0%)","3 (0%)"
"com.jetbrains.clones.languagescope.TypeScriptDuplicateScope","48 B (0%)","2 (0%)"
"com.intellij.configurationStore.StateStorageManagerImpl$Companion$createDefaultVirtualTracker$1","48 B (0%)","2 (0%)"
"com.intellij.psi.impl.source.codeStyle.CodeStyleSchemeImpl","48 B (0%)","1 (0%)"
"com.intellij.ide.b.g.aa$$Lambda$273.0x000000010045c840","48 B (0%)","2 (0%)"
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet","48 B (0%)","3 (0%)"
"com.intellij.ide.plugins.MainRunner$2","48 B (0%)","1 (0%)"
"com.intellij.ide.actions.ToolWindowMoveAction$Anchor[]","48 B (0%)","1 (0%)"
"com.intellij.plugins.watcher.model.ProjectTasksOptions","48 B (0%)","1 (0%)"
"com.intellij.execution.impl.RunManagerImpl$idToType$1","48 B (0%)","2 (0%)"
"com.intellij.openapi.vcs.impl.projectlevelman.NewMappings$MappedRoot","48 B (0%)","2 (0%)"
"com.intellij.serviceContainer.MyComponentAdapter$doCreateInstance$1","48 B (0%)","3 (0%)"
"org.cef.browser.CefMessageRouter$CefMessageRouterConfig","48 B (0%)","2 (0%)"
"java.lang.management.MemoryPoolMXBean[]","48 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap","48 B (0%)","1 (0%)"
"com.intellij.openapi.wm.impl.IdeRootPane$MyRootLayout","48 B (0%)","2 (0%)"
"com.intellij.ide.hierarchy.LanguageMethodHierarchy","48 B (0%)","1 (0%)"
"com.intellij.lang.javascript.buildTools.npm.NpmScriptsService","48 B (0%)","2 (0%)"
"com.intellij.openapi.fileTypes.LanguageSyntaxHighlighters","48 B (0%)","1 (0%)"
"com.intellij.openapi.projectRoots.impl.UnknownSdkStartupChecker$runActivity$3","48 B (0%)","2 (0%)"
"org.intellij.markdown.flavours.commonmark.CommonMarkFlavourDescriptor$sequentialParserManager$1","48 B (0%)","3 (0%)"
"io.netty.util.concurrent.PromiseTask$SentinelRunnable","48 B (0%)","3 (0%)"
"com.intellij.lang.LanguageAnnotators","48 B (0%)","1 (0%)"
"org.apache.batik.anim.dom.SVGOMAnimatedPreserveAspectRatio","48 B (0%)","1 (0%)"
"com.intellij.ide.scratch.RootType[]","48 B (0%)","1 (0%)"
"com.fasterxml.jackson.annotation.PropertyAccessor[]","48 B (0%)","1 (0%)"
"com.intellij.configurationScript.providers.ReadOnlyStorage","48 B (0%)","2 (0%)"
"com.intellij.openapi.util.ThreadLocalCachedByteArray","48 B (0%)","3 (0%)"
"sun.java2d.loops.ProcessPath$DrawProcessHandler","48 B (0%)","2 (0%)"
"com.intellij.codeInsight.daemon.impl.SeverityRegistrar$$Lambda$876.0x0000000100aa3c40","48 B (0%)","3 (0%)"
"com.intellij.util.containers.MultiMap$1","48 B (0%)","3 (0%)"
"com.intellij.ui.tabs.impl.EditorTabPainterAdapter","48 B (0%)","2 (0%)"
"com.intellij.openapi.fileEditor.impl.DockableEditorContainerFactory","48 B (0%)","2 (0%)"
"com.intellij.xml.breadcrumbs.BreadcrumbsPanel$$Lambda$2051.0x000000010147a040","48 B (0%)","3 (0%)"
"com.intellij.vcs.commit.CommitProperty","48 B (0%)","2 (0%)"
"com.intellij.codeInsight.folding.impl.UpdateFoldRegionsOperation","48 B (0%)","1 (0%)"
"org.apache.batik.bridge.SVGLineElementBridge","48 B (0%)","1 (0%)"
"jdk.internal.module.ModuleHashes","48 B (0%)","2 (0%)"
"com.intellij.openapi.editor.impl.CaretImpl$SelectionMarker","48 B (0%)","1 (0%)"
"com.intellij.openapi.vcs.changes.ui.VcsToolWindowFactory$ExtensionListener","48 B (0%)","2 (0%)"
"com.intellij.ide.bookmarks.actions.GotoBookmarkActionBase$1","48 B (0%)","2 (0%)"
"java.util.regex.Pattern$BackRef","48 B (0%)","2 (0%)"
"org.apache.batik.css.engine.value.svg.SVGPaintManager","48 B (0%)","2 (0%)"
"sun.security.x509.RFC822Name","48 B (0%)","3 (0%)"
"com.intellij.packageDependencies.DependencyValidationManagerImpl$State","48 B (0%)","2 (0%)"
"com.intellij.ide.ui.laf.darcula.DarculaLaf","48 B (0%)","1 (0%)"
"com.intellij.facet.FacetTypeId","48 B (0%)","3 (0%)"
"com.intellij.diagnostic.DebugLogManager$DebugLogLevel","48 B (0%)","2 (0%)"
"com.jetbrains.python.psi.impl.stubs.CustomTargetExpressionStubType[]","48 B (0%)","1 (0%)"
"com.intellij.openapi.vcs.changes.ui.VcsToolWindowFactory$init$1","48 B (0%)","2 (0%)"
"com.intellij.openapi.vcs.changes.ui.VcsToolWindowFactory$init$2","48 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap","48 B (0%)","1 (0%)"
"com.intellij.database.run.actions.ChooseExtractorAction","48 B (0%)","1 (0%)"
"com.intellij.openapi.fileEditor.impl.EditorTabbedContainer$MyDragOutDelegate","48 B (0%)","2 (0%)"
"javax.swing.JTree$TreeSelectionRedirector","48 B (0%)","3 (0%)"
"com.intellij.openapi.actionSystem.ex.ToolbarLabelAction$MyLabel$1","48 B (0%)","3 (0%)"
"git4idea.ui.branch.GitBranchManager","48 B (0%)","2 (0%)"
"com.intellij.ui.popup.MovablePopup$$Lambda$1821.0x000000010135f840","48 B (0%)","3 (0%)"
"java.time.chrono.MinguoEra","48 B (0%)","2 (0%)"
"com.intellij.openapi.vcs.changes.TextRevisionNumber","48 B (0%)","2 (0%)"
"com.intellij.internal.statistic.utils.PluginType[]","48 B (0%)","1 (0%)"
"java.util.ResourceBundle$NoFallbackControl","48 B (0%)","3 (0%)"
"com.intellij.util.CommonProcessors$CollectProcessor","48 B (0%)","3 (0%)"
"com.intellij.lang.javascript.linter.tslint.editor.TsLintCodeStyleEditorNotificationProvider","48 B (0%)","2 (0%)"
"com.intellij.openapi.vcs.changes.ui.VcsToolWindowFactory$getContentManagerListener$1","48 B (0%)","2 (0%)"
"com.intellij.database.run.actions.ChooseExtractorAction$ScriptedGroup","48 B (0%)","1 (0%)"
"org.zmlx.hg4idea.log.HgRefManager","48 B (0%)","2 (0%)"
"org.jetbrains.plugins.terminal.LocalTerminalDirectRunner$1","48 B (0%)","1 (0%)"
"java.util.WeakHashMap$ValueIterator","48 B (0%)","1 (0%)"
"java.lang.module.ModuleDescriptor$Opens$Modifier[]","48 B (0%)","2 (0%)"
"com.intellij.openapi.roots.impl.RootIndex$OrderEntryGraph$2","48 B (0%)","1 (0%)"
"com.intellij.openapi.roots.impl.RootIndex$OrderEntryGraph$1","48 B (0%)","1 (0%)"
"com.intellij.ide.projectView.impl.AbstractProjectViewPSIPane$1","48 B (0%)","1 (0%)"
"com.intellij.psi.xml.XmlElementType$XmlTagElementType","48 B (0%)","2 (0%)"
"com.fasterxml.jackson.databind.deser.DeserializerCache","48 B (0%)","2 (0%)"
"com.intellij.diagnostic.PerformanceWatcher","48 B (0%)","1 (0%)"
"com.intellij.openapi.wm.impl.status.EncodingPanel","48 B (0%)","1 (0%)"
"com.intellij.openapi.fileEditor.impl.EditorTabbedContainer$TabMouseListener","48 B (0%)","2 (0%)"
"com.intellij.openapi.vcs.impl.VcsStartupActivity[]","48 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentHashMap$CounterCell[]","48 B (0%)","2 (0%)"
"com.intellij.openapi.editor.actions.IncrementalFindAction$Handler","48 B (0%)","2 (0%)"
"sun.awt.X11.XRepaintArea","48 B (0%)","3 (0%)"
"com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$SoftValue","48 B (0%)","1 (0%)"
"com.intellij.ide.hierarchy.LanguageCallHierarchy","48 B (0%)","1 (0%)"
"java.time.format.DateTimeTextProvider$LocaleStore","48 B (0%)","2 (0%)"
"org.apache.batik.ext.awt.image.PadMode","48 B (0%)","3 (0%)"
"com.jetbrains.python.highlighting.PyRainbowVisitor","48 B (0%)","2 (0%)"
"git4idea.history.GitLogParser$NameStatus","48 B (0%)","2 (0%)"
"com.intellij.util.PathUtilRt$Platform[]","48 B (0%)","2 (0%)"
"com.intellij.util.EditSourceOnEnterKeyHandler$$Lambda$1895.0x00000001013b9c40","48 B (0%)","2 (0%)"
"com.intellij.psi.impl.PsiTreeChangePreprocessor[]","48 B (0%)","2 (0%)"
"com.intellij.openapi.roots.WatchedRootsProvider[]","48 B (0%)","2 (0%)"
"io.netty.channel.ChannelMetadata","48 B (0%)","2 (0%)"
"com.intellij.codeInsight.lookup.impl.LookupActionHandler$UpDownInEditorHandler","48 B (0%)","2 (0%)"
"com.intellij.database.dataSource.DatabaseArtifactList$Channel","48 B (0%)","2 (0%)"
"org.jetbrains.plugins.github.GithubRebaseAction","48 B (0%)","1 (0%)"
"com.intellij.openapi.vcs.changes.DirtBuilder","48 B (0%)","2 (0%)"
"com.intellij.ui.jcef.HwFacadeHelper$1","48 B (0%)","3 (0%)"
"com.fasterxml.jackson.core.util.DefaultIndenter","48 B (0%)","2 (0%)"
"java.beans.WeakIdentityMap$Entry[]","48 B (0%)","1 (0%)"
"java.lang.reflect.ReflectPermission","48 B (0%)","2 (0%)"
"javax.swing.AbstractButton$ButtonActionPropertyChangeListener","48 B (0%)","2 (0%)"
"com.intellij.openapi.roots.impl.InheritedJdkOrderEntryImpl","48 B (0%)","1 (0%)"
"org.apache.xerces.impl.dtd.DTDGrammarBucket","48 B (0%)","2 (0%)"
"com.intellij.openapi.components.StateStorageOperation","48 B (0%)","2 (0%)"
"sun.management.counter.Units[]","48 B (0%)","1 (0%)"
"javax.swing.text.html.StyleSheet$BoxPainter$HorizontalMargin","48 B (0%)","2 (0%)"
"com.intellij.util.xmlb.annotations.XCollection$Style[]","48 B (0%)","2 (0%)"
"java.text.AttributedString$AttributedStringIterator","48 B (0%)","1 (0%)"
"com.intellij.codeInsight.template.impl.TemplateSettings","48 B (0%)","1 (0%)"
"com.intellij.openapi.ui.popup.Balloon$Layer","48 B (0%)","2 (0%)"
"sun.java2d.pipe.SpanClipRenderer","48 B (0%)","3 (0%)"
"gnu.trove.TLongObjectHashMap","48 B (0%)","1 (0%)"
"com.intellij.openapi.externalSystem.service.project.manage.ExternalSystemTaskActivator$Phase[]","48 B (0%)","1 (0%)"
"com.intellij.ide.scratch.ScratchesNamedScope","48 B (0%)","2 (0%)"
"io.netty.handler.codec.http.cors.CorsConfigBuilder$ConstantValueGenerator","48 B (0%)","3 (0%)"
"com.intellij.ui.mac.TouchbarDataKeys$ActionDesc","48 B (0%)","2 (0%)"
"com.intellij.ide.impl.DataManagerImpl$$Lambda$2009.0x000000010142c040","48 B (0%)","2 (0%)"
"kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$JvmPropertySignature","48 B (0%)","1 (0%)"
"com.intellij.openapi.editor.actions.ForwardParagraphAction$Handler","48 B (0%)","2 (0%)"
"com.intellij.database.actions.DdlActions$PublicCreateObjectGroup","48 B (0%)","1 (0%)"
"com.intellij.psi.impl.include.FileIncludeIndex$2","48 B (0%)","3 (0%)"
"java.awt.Component$BltSubRegionBufferStrategy","48 B (0%)","1 (0%)"
"org.jetbrains.plugins.terminal.TerminalView$3","48 B (0%)","1 (0%)"
"com.intellij.openapi.roots.impl.OrderEnumeratorBase$ProcessEntryAction","48 B (0%)","2 (0%)"
"com.intellij.ide.b.n.c","48 B (0%)","1 (0%)"
"io.netty.channel.nio.AbstractNioByteChannel$1","48 B (0%)","3 (0%)"
"com.intellij.codeInspection.actions.CodeCleanupAction","48 B (0%)","1 (0%)"
"com.intellij.notification.Notification$CollapseActionsDirection","48 B (0%)","2 (0%)"
"com.intellij.openapi.vfs.VirtualFileVisitor$Result","48 B (0%)","2 (0%)"
"com.intellij.lang.LanguageASTFactory","48 B (0%)","1 (0%)"
"com.intellij.openapi.roots.impl.ModuleRootManagerComponent","48 B (0%)","1 (0%)"
"com.intellij.refactoring.changeSignature.inplace.LanguageChangeSignatureDetectors","48 B (0%)","1 (0%)"
"org.jetbrains.plugins.textmate.plist.PlistValueType[]","48 B (0%)","1 (0%)"
"sun.nio.cs.EUC_KR","48 B (0%)","2 (0%)"
"com.intellij.ui.EditorNotificationsImpl$$Lambda$2294.0x00000001015f6840","48 B (0%)","2 (0%)"
"com.jetbrains.python.lexer.PythonHighlightingLexer$state[]","48 B (0%)","1 (0%)"
"org.intellij.plugins.markdown.lang.lexer.MarkdownLexerAdapter","48 B (0%)","2 (0%)"
"com.sun.proxy.$Proxy122","48 B (0%)","3 (0%)"
"com.sun.proxy.$Proxy108","48 B (0%)","3 (0%)"
"com.sun.proxy.$Proxy116","48 B (0%)","3 (0%)"
"com.intellij.lang.javascript.index.JSImplicitElementsIndex$2","48 B (0%)","3 (0%)"
"org.angular2.codeInsight.refs.Angular2ReferencesContributor$4","48 B (0%)","2 (0%)"
"com.intellij.database.csv.CsvRecordFormat$Quotes[]","48 B (0%)","2 (0%)"
"kotlin.reflect.jvm.internal.impl.resolve.jvm.JvmPrimitiveType[]","48 B (0%)","1 (0%)"
"com.jetbrains.python.debugger.actions.ViewAsGroup","48 B (0%)","1 (0%)"
"com.intellij.util.io.RandomAccessDataFile$$Lambda$349.0x0000000100577040","48 B (0%)","2 (0%)"
"com.intellij.xml.breadcrumbs.BreadcrumbsPanel$$Lambda$2052.0x000000010147a440","48 B (0%)","3 (0%)"
"jdk.internal.module.SystemModuleFinders$SystemModuleFinder","48 B (0%)","2 (0%)"
"com.jetbrains.python.packaging.requirement.PyRequirementRelation[]","48 B (0%)","1 (0%)"
"com.intellij.javascript.nodejs.interpreter.NodeJsInterpreterRef","48 B (0%)","3 (0%)"
"com.intellij.psi.LanguageFileViewProviders","48 B (0%)","1 (0%)"
"jdk.internal.loader.BuiltinClassLoader$2","48 B (0%)","2 (0%)"
"org.zmlx.hg4idea.provider.HgIgnoredFileHolder$Provider","48 B (0%)","2 (0%)"
"com.intellij.ui.tabs.impl.themes.EditorTabTheme","48 B (0%)","3 (0%)"
"com.intellij.openapi.wm.impl.status.LineSeparatorPanel","48 B (0%)","1 (0%)"
"javax.net.ssl.SSLContext","48 B (0%)","2 (0%)"
"com.intellij.diff.util.Side","48 B (0%)","2 (0%)"
"git4idea.index.GitFileStatus","48 B (0%)","2 (0%)"
"sun.security.ssl.SSLCipher$StreamReadCipherGenerator","48 B (0%)","3 (0%)"
"java.nio.file.FileVisitOption[]","48 B (0%)","2 (0%)"
"com.intellij.sql.injection.SqlTypeBasedInjector","48 B (0%)","2 (0%)"
"com.intellij.openapi.roots.impl.ProjectFileIndexFacade","48 B (0%)","2 (0%)"
"com.intellij.openapi.externalSystem.configurationStore.ModuleFileSystemExternalSystemStorage","48 B (0%)","2 (0%)"
"com.intellij.ide.impl.PsiElementDataValidator","48 B (0%)","3 (0%)"
"java.awt.Dimension[]","48 B (0%)","1 (0%)"
"com.intellij.util.ui.NSScrollerHelper$Style","48 B (0%)","2 (0%)"
"com.intellij.ws.http.request.environment.HttpRequestEnvironmentIndex$HttpRequestEnvironmentExternalizer","48 B (0%)","3 (0%)"
"com.intellij.openapi.roots.impl.RootIndex$OrderEntryGraph","48 B (0%)","1 (0%)"
"git4idea.repo.GitBranchTrackInfo","48 B (0%)","2 (0%)"
"com.intellij.ui.tabs.impl.JBEditorTabsBorder","48 B (0%)","2 (0%)"
"com.intellij.patterns.XmlAttributeValuePattern$3","48 B (0%)","2 (0%)"
"org.graalvm.visualvm.lib.jfluid.server.Monitors$LongList","48 B (0%)","2 (0%)"
"com.intellij.psi.impl.source.resolve.reference.UrlReferenceContributor$1","48 B (0%)","2 (0%)"
"com.intellij.ui.AbstractExpandableItemsHandler$5","48 B (0%)","3 (0%)"
"com.intellij.ui.AbstractExpandableItemsHandler$4","48 B (0%)","3 (0%)"
"com.intellij.ui.AbstractExpandableItemsHandler$7","48 B (0%)","3 (0%)"
"com.intellij.ui.AbstractExpandableItemsHandler$6","48 B (0%)","3 (0%)"
"com.intellij.ui.AbstractExpandableItemsHandler$3","48 B (0%)","3 (0%)"
"com.intellij.ui.AbstractExpandableItemsHandler$2","48 B (0%)","3 (0%)"
"com.intellij.openapi.vcs.VcsConfiguration$StandardConfirmation","48 B (0%)","2 (0%)"
"org.zmlx.hg4idea.log.HgLogProvider","48 B (0%)","2 (0%)"
"com.intellij.configurationStore.SaveAndSyncHandlerImpl","48 B (0%)","1 (0%)"
"com.intellij.vcs.commit.ChangesViewCommitPanel$getButtonPanelBackground$1","48 B (0%)","3 (0%)"
"com.intellij.openapi.vfs.encoding.EncodingProjectManagerImpl","48 B (0%)","1 (0%)"
"com.intellij.ui.tabs.impl.singleRow.SingleRowLayoutStrategy$Right","48 B (0%)","2 (0%)"
"com.intellij.ide.navigationToolbar.NavBarListener","48 B (0%)","2 (0%)"
"com.intellij.ide.IdeEventQueue$MyFireIdleRequest","48 B (0%)","2 (0%)"
"com.intellij.lang.Language[]","48 B (0%)","2 (0%)"
"org.apache.xerces.impl.dv.dtd.ListDatatypeValidator","48 B (0%)","3 (0%)"
"com.intellij.util.indexing.IndexableSetContributor[]","48 B (0%)","1 (0%)"
"com.intellij.database.actions.RunExtensionScriptActionGroup","48 B (0%)","1 (0%)"
"com.intellij.codeInspection.actions.CodeInspectionAction","48 B (0%)","1 (0%)"
"com.intellij.openapi.vcs.changes.ui.ChangesBrowserNode","48 B (0%)","1 (0%)"
"com.intellij.ide.actions.ResizeToolWindowAction$Down","48 B (0%)","1 (0%)"
"it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap$MapEntry","48 B (0%)","2 (0%)"
"org.zmlx.hg4idea.provider.HgChangeProvider$HgChangeProcessor[]","48 B (0%)","1 (0%)"
"java.awt.ComponentOrientation","48 B (0%)","3 (0%)"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap","48 B (0%)","2 (0%)"
"com.intellij.util.containers.TreeTraversal$TraversalArgs","48 B (0%)","2 (0%)"
"org.cef.browser.CefMessageRouter_N","48 B (0%)","2 (0%)"
"com.intellij.lang.javascript.buildTools.base.JsbtSortingMode[]","48 B (0%)","2 (0%)"
"org.apache.batik.util.DoublyLinkedList","48 B (0%)","2 (0%)"
"com.intellij.util.net.ssl.UntrustedCertificateStrategy","48 B (0%)","2 (0%)"
"com.intellij.openapi.module.impl.ModuleManagerImpl$ModuleModelImpl","48 B (0%)","1 (0%)"
"com.intellij.configurationStore.ObsoleteStorageBean[]","48 B (0%)","1 (0%)"
"kotlin.reflect.jvm.internal.impl.resolve.OverridingUtil","48 B (0%)","2 (0%)"
"com.intellij.ide.gdpr.Version","48 B (0%)","2 (0%)"
"org.zmlx.hg4idea.provider.commit.HgCheckinEnvironment","48 B (0%)","2 (0%)"
"com.intellij.ui.jcef.HwFacadeHelper$$Lambda$839.0x0000000100a46840","48 B (0%)","3 (0%)"
"com.intellij.ui.tabs.impl.JBEditorTabPainter","48 B (0%)","3 (0%)"
"com.jetbrains.django.facet.DjangoFacet","48 B (0%)","1 (0%)"
"com.intellij.psi.injection.ReferenceInjector[]","48 B (0%)","1 (0%)"
"com.intellij.codeInsight.daemon.LineMarkerProviders","48 B (0%)","1 (0%)"
"com.intellij.openapi.vcs.impl.LineStatusTrackerManager$MyBaseRevisionLoader","48 B (0%)","1 (0%)"
"org.owasp.html.HtmlPolicyBuilder$RelsOnLinksPolicy","48 B (0%)","2 (0%)"
"kotlin.sequences.TransformingSequence$iterator$1","48 B (0%)","2 (0%)"
"javax.swing.DropMode[]","48 B (0%)","1 (0%)"
"com.intellij.ide.actions.QuickChangeLookAndFeel","48 B (0%)","1 (0%)"
"javax.swing.JRootPane$RootLayout","48 B (0%)","3 (0%)"
"com.intellij.openapi.project.DumbServiceGuiTaskQueue","48 B (0%)","2 (0%)"
"com.intellij.find.impl.ShowRecentFindUsagesGroup","48 B (0%)","1 (0%)"
"com.intellij.lang.javascript.library.ui.JSLibraryListGroup","48 B (0%)","1 (0%)"
"com.intellij.ide.favoritesTreeView.actions.AddToFavoritesActionGroup","48 B (0%)","1 (0%)"
"com.intellij.codeInsight.breadcrumbs.FileBreadcrumbsCollector[]","48 B (0%)","2 (0%)"
"com.intellij.database.run.actions.ColumnFilterByGroup","48 B (0%)","1 (0%)"
"com.intellij.codeInsight.hints.InlayParameterHintsExtension","48 B (0%)","1 (0%)"
"java.net.InterfaceAddress","48 B (0%)","2 (0%)"
"com.intellij.sql.editor.SqlGenerateGroup","48 B (0%)","1 (0%)"
"com.intellij.lang.javascript.types.JSReferenceListElementType","48 B (0%)","2 (0%)"
"org.zmlx.hg4idea.provider.HgChangeProvider","48 B (0%)","2 (0%)"
"com.intellij.openapi.editor.actions.KillRingSaveAction$Handler","48 B (0%)","2 (0%)"
"com.intellij.ui.icons.ImageType","48 B (0%)","2 (0%)"
"com.intellij.vcs.log.data.VcsUserRegistryImpl","48 B (0%)","2 (0%)"
"kotlin.reflect.jvm.internal.impl.load.java.structure.LightClassOriginKind","48 B (0%)","2 (0%)"
"java.math.RoundingMode[]","48 B (0%)","1 (0%)"
"io.netty.util.concurrent.SingleThreadEventExecutor$4","48 B (0%)","3 (0%)"
"com.intellij.vcs.log.graph.utils.impl.BitSetFlags","48 B (0%)","2 (0%)"
"com.intellij.openapi.roots.impl.ProjectFileIndexImpl","48 B (0%)","2 (0%)"
"com.intellij.packageDependencies.DefaultScopesProvider","48 B (0%)","2 (0%)"
"com.intellij.ide.impl.ProjectPaneSelectInTarget","48 B (0%)","2 (0%)"
"com.jetbrains.changeReminder.changes.ChangeReminderChangesViewModifier","48 B (0%)","2 (0%)"
"sun.security.jca.ProviderList","48 B (0%)","2 (0%)"
"com.intellij.util.indexing.FileBasedIndexProjectHandler","48 B (0%)","2 (0%)"
"com.intellij.ui.popup.HintUpdateSupply$1","48 B (0%)","2 (0%)"
"java.nio.channels.FileChannel$MapMode","48 B (0%)","3 (0%)"
"com.intellij.openapi.wm.impl.status.IdeStatusBarImpl$$Lambda$2456.0x00000001016ff840","48 B (0%)","3 (0%)"
"com.intellij.ui.popup.HintUpdateSupply$3","48 B (0%)","2 (0%)"
"javax.swing.UIManager$LAFState","48 B (0%)","1 (0%)"
"com.intellij.ide.scopeView.ScopePaneSelectInTarget","48 B (0%)","2 (0%)"
"sun.security.ssl.SSLCipher$StreamWriteCipherGenerator","48 B (0%)","3 (0%)"
"sun.net.www.http.KeepAliveCache","48 B (0%)","1 (0%)"
"com.intellij.openapi.vfs.impl.VirtualFileManagerImpl$$Lambda$426.0x00000001005df840","48 B (0%)","2 (0%)"
"com.jetbrains.plugins.remotesdk.tools.RemoteExternalToolActionGroup","48 B (0%)","1 (0%)"
"sun.font.CMap$CMapFormat12","48 B (0%)","1 (0%)"
"org.zmlx.hg4idea.branch.HgBranchType","48 B (0%)","2 (0%)"
"com.intellij.codeInspection.ui.actions.QuickFixesViewActionGroup","48 B (0%)","1 (0%)"
"com.intellij.openapi.wm.impl.status.EditorBasedStatusBarPopup$3","48 B (0%)","3 (0%)"
"java.lang.ProcessImpl","48 B (0%)","1 (0%)"
"com.intellij.lang.javascript.service.JSLanguageServiceProvider[]","48 B (0%)","2 (0%)"
"com.intellij.lang.javascript.linter.PackageJsonForLintersConfigChangeTracker$MyPackageJsonChangeTracker","48 B (0%)","2 (0%)"
"com.intellij.openapi.editor.impl.softwrap.SoftWrapDrawingType","48 B (0%)","2 (0%)"
"java.lang.ClassValue$Identity","48 B (0%)","3 (0%)"
"com.intellij.openapi.project.DumbServiceMergingTaskQueue","48 B (0%)","2 (0%)"
"com.intellij.ide.util.treeView.TreeState","48 B (0%)","2 (0%)"
"sun.java2d.loops.DrawGlyphListColor","48 B (0%)","1 (0%)"
"com.intellij.util.concurrency.QueueProcessor$ThreadToUse","48 B (0%)","2 (0%)"
"sun.text.normalizer.CharTrie","48 B (0%)","1 (0%)"
"org.ini4j.Config","48 B (0%)","1 (0%)"
"com.intellij.execution.impl.RunManagerImpl$config$2","48 B (0%)","2 (0%)"
"org.apache.batik.css.parser.Parser","48 B (0%)","1 (0%)"
"com.intellij.ws.actions.environment.HttpRequestNewEnvironmentFileAction$EnvironmentType","48 B (0%)","2 (0%)"
"javax.swing.TransferHandler$DropHandler","48 B (0%)","1 (0%)"
"sun.nio.fs.UnixFileAttributeViews$Basic","48 B (0%)","2 (0%)"
"com.intellij.openapi.vcs.changes.VcsIgnoredFilesHolder$Provider[]","48 B (0%)","2 (0%)"
"com.intellij.openapi.vcs.changes.ChangeListDecorator[]","48 B (0%)","2 (0%)"
"java.security.AllPermissionCollection","48 B (0%)","2 (0%)"
"org.intellij.markdown.parser.markerblocks.MarkerBlock$EventAction","48 B (0%)","2 (0%)"
"com.intellij.testIntegration.GenerateFromTestCreatorsGroup","48 B (0%)","1 (0%)"
"com.intellij.openapi.fileEditor.impl.text.PsiAwareTextEditorProvider","48 B (0%)","3 (0%)"
"com.jediterm.terminal.model.LinesBuffer","48 B (0%)","2 (0%)"
"com.intellij.openapi.progress.impl.ProgressRunner$ThreadToUse","48 B (0%)","2 (0%)"
"com.intellij.ui.paint.PaintUtil$ParityMode","48 B (0%)","2 (0%)"
"com.intellij.openapi.util.RecursionManager$1","48 B (0%)","3 (0%)"
"com.intellij.remoteServer.impl.configuration.deployment.DeployToServerConfigurationType","48 B (0%)","1 (0%)"
"com.intellij.psi.impl.source.resolve.reference.ReferenceProvidersRegistry$$Lambda$2836.0x0000000101975440","48 B (0%)","3 (0%)"
"com.intellij.ide.IdeEventQueue$BlockMode","48 B (0%)","2 (0%)"
"com.intellij.openapi.roots.impl.NonProjectDirectoryInfo","48 B (0%)","3 (0%)"
"java.util.OptionalInt","48 B (0%)","2 (0%)"
"sun.java2d.marlin.ByteArrayCache$Reference","48 B (0%)","2 (0%)"
"git4idea.config.GitVersion$Type[]","48 B (0%)","1 (0%)"
"com.intellij.lang.javascript.buildTools.base.JsbtSortingMode","48 B (0%)","2 (0%)"
"com.intellij.openapi.util.text.StringUtil$MyHtml2Text","48 B (0%)","2 (0%)"
"com.intellij.openapi.wm.impl.content.ContentComboLabel$1","48 B (0%)","2 (0%)"
"com.intellij.openapi.actionSystem.impl.MenuItemPresentationFactory","48 B (0%)","2 (0%)"
"com.intellij.database.dataSource.DataSourceStorage$$Lambda$1681.0x00000001012aac40","48 B (0%)","3 (0%)"
"com.fasterxml.jackson.databind.deser.impl.NullsConstantProvider","48 B (0%)","2 (0%)"
"com.fasterxml.jackson.databind.ser.SerializerCache","48 B (0%)","2 (0%)"
"com.intellij.ide.actions.ResizeToolWindowAction$Up","48 B (0%)","1 (0%)"
"sun.security.ssl.EphemeralKeyManager$EphemeralKeyPair[]","48 B (0%)","2 (0%)"
"com.intellij.psi.codeStyle.CodeStyleSettings$HtmlTagNewLineStyle","48 B (0%)","2 (0%)"
"com.intellij.execution.impl.RunnerAndConfigurationSettingsImpl","48 B (0%)","1 (0%)"
"java.util.Base64$Decoder","48 B (0%)","3 (0%)"
"com.intellij.ui.jcef.JBCefJSQuery$JSQueryFunc","48 B (0%)","2 (0%)"
"com.intellij.ui.docking.impl.DockManagerImpl$2","48 B (0%)","2 (0%)"
"com.intellij.ui.docking.impl.DockManagerImpl$1","48 B (0%)","2 (0%)"
